,sp500,copper,oil,policy_rate,dgs10,yield_curve,market_vol,stock_bond_corr,sim_flag,anti_flag
2003-07-31,0.1815107181173983,0.360896820386653,0.44485733707934,-0.4438841926277223,0.2146046186316258,0.64271347081553,-3.0,0.1514294138194252,0,1
2003-08-31,0.2542216600977309,0.6797755750326531,0.340063189420864,-0.3591788313419536,0.5215796661401094,0.8006903762688347,-2.8813894094710895,0.653781582687179,0,1
2003-09-30,0.7466185887555864,0.7290735320502888,-0.393326598414675,-0.3692605000909362,0.5309321138025513,0.8182914033818944,-1.8539485235721136,0.2434823282691595,0,0
2003-10-31,0.6514283458136703,0.9749872449205405,0.0551571803791306,-0.3420660735123511,0.5864947826391673,0.8349728493246618,-2.9395891380672117,0.1897194776828646,1,0
2003-11-30,0.4049507106807276,1.033420485792614,0.5771088015765529,-0.0753972975105855,0.3059349812921172,0.3264027537010892,-1.592848854106132,-0.0051633418625948,0,0
2003-12-31,1.0100430570290626,1.2867166115644793,0.2342259988921592,-0.0672368870575398,0.6066030299744832,0.5596083376978678,-1.0679387593857927,0.0548081527253356,0,0
2004-01-31,1.2335169537072164,1.6074021919612116,0.0026961641914463,-0.0655840860647703,0.3275977969781536,0.3334295579197959,-1.757186281764734,-0.1451806002569624,0,0
2004-02-29,1.3673869692271223,2.1624045551250415,-0.3998561856973063,-0.0253535156258907,0.4428577421540962,0.3833644393761686,-1.3665392647939096,-0.2329384423750704,0,0
2004-03-31,1.205512536043289,2.615173158633083,0.2900355399469613,0.0160433202824409,0.2061128371064249,0.148332042938461,-1.4953676838266077,-0.98423966143273,0,0
2004-04-30,0.7155568506674772,2.542704774180874,1.1192648140852834,0.0222432898244885,0.8066769960355138,0.6207415999559376,-0.7632335799423222,-1.6567076097392146,0,1
2004-05-31,0.5261368067207695,1.972491334045146,1.6810499712039313,0.1339308776708806,1.4361994057342815,1.0053081485659356,-0.613030907141415,-1.0458973988625988,0,1
2004-06-30,0.5683862675266458,1.7859536686390267,0.8934531689055036,0.436826910605545,1.2418353624652732,0.5284751935107893,-0.7269624099831743,-1.195676170866137,0,0
2004-07-31,0.2637623728931351,1.9361965564790469,1.2933192201275996,0.5039772427743273,0.2043575322413255,-0.3630063745355591,-0.7418773513420116,-0.8862047855546172,0,0
2004-08-31,0.1770430799556542,1.8793606590475824,1.793953742759964,0.5877836809397313,-0.1068873829970172,-0.6886511350531962,0.2464924012637988,-1.3809380516597651,0,0
2004-09-30,0.2941105056992631,1.888299506187854,2.386643298129625,0.7340478736062032,0.4232763352293184,-0.4333350279026603,-0.6943552076913589,-1.4894563972639991,0,0
2004-10-31,0.0769858843021489,1.8519070581349004,3.0,0.8466851326654699,-0.0288935384089255,-0.878426529939714,0.2046581652335082,-1.5534222414620216,0,0
2004-11-30,0.2689436282602525,1.8152752607690028,2.1606185972564935,1.093420471302332,0.3166019362956794,-0.8691777150633647,-0.1150227105092205,-1.703840211478356,0,0
2004-12-31,0.1787438781592479,1.612830420377937,1.25140858195021,1.23413153368441,0.2880767079397002,-1.0146527014552928,-0.1835713102360821,-1.760474690842586,0,0
