,sp500,copper,oil,policy_rate,dgs10,yield_curve,market_vol,stock_bond_corr
1981-05-31,1.3706107287926472,-0.6368004336800175,-0.8882379032325748,3.0,2.8347392066334964,-2.6385396811434414,-0.4540579702214715,-0.025036869855836443
1981-06-30,0.9464125510372804,-0.6573081446856079,-1.2372481816775187,3.0,3.0,-2.2161386158203698,-0.34987197640897605,0.22545932805961325
1981-07-31,0.3786739931421606,-0.9741194680970693,-1.225480937933756,2.8195080889857715,3.0,-1.6349750130233855,-0.23946304035522786,-0.45858712944643926
1981-08-31,0.16524294768366551,-0.6310309778279004,-0.9517920178288077,2.494941464769661,3.0,-1.3382736627434644,-0.12251411210728352,-0.2722532781948414
1981-09-30,-0.8169204136462451,-0.7210196649855806,-0.5949457873767111,1.5697750172793685,3.0,-0.11471576569759265,-0.07954483451538237,-0.7122046082195033
1981-10-31,-0.9590873782453719,-0.7567593217243721,-0.770282622518225,0.41418767624684705,1.3275129494935052,0.2967813955120039,-0.09382184010219667,-1.0340646985092705
1981-11-30,-1.104249208030394,-0.7255080742287787,-0.5918685979537516,-1.75668817891425,-0.3421685420327588,2.0350599108172105,-0.28802636241736523,-1.4074474984453156
1981-12-31,-0.8765404763909301,-0.4924784530343281,-0.9425211394872367,-2.486150051450687,0.7261846233988091,3.0,-1.1420283898521124,-1.5695188002671667
1982-01-31,-1.2687631204837273,-0.5463153549559111,-1.3103186937480418,-1.625078210829625,0.6291958280506993,2.3407840734931717,0.5682053824249801,-1.4853420744411752
1982-02-28,-1.1271624400653941,-0.44755478369264945,-1.686780356637144,-0.990832663133597,-0.19774814883778785,1.097828483387401,0.6712084360032785,-0.9238092154346016
1982-03-31,-1.6716257322660095,-0.6201924113502212,-2.169344810797197,-0.7093793306700291,0.22932753719009133,0.990941167154774,-0.22600301415105906,-0.7116427283100246
1982-04-30,-1.3573317051831733,-0.6028897565116336,-1.3036171717314549,-0.8403687215280469,-1.0009991833878353,0.4659324661801899,0.2462644926024156,-0.919943955691037
1982-05-31,-1.151497814832597,-0.45582024339423993,-0.8765445757610525,-2.19171999907311,-0.5775123081492627,2.345132546569007,-0.1921490964981424,-1.282415846436408
1982-06-30,-1.6047908108744886,-0.7623849900860952,-0.6809534111900521,-1.3434057242307391,-0.23346205645344686,1.4982651300525083,0.3022148140754498,-1.5414503632112644
