date,copper_price
1/31/2011,9555.7
2/28/2011,9867.6
3/31/2011,9503.36
4/30/2011,9492.79
5/31/2011,8959.9
6/30/2011,9066.85
7/31/2011,9650.46
8/31/2011,9000.76
9/30/2011,8300.14
10/31/2011,7394.19
11/30/2011,7581.02
12/31/2011,7565.48
1/31/2012,8040.47
2/29/2012,8441.49
3/31/2012,8470.78
4/30/2012,8289.48
5/31/2012,7955.64285714286
6/30/2012,7423.02380952381
7/31/2012,7584.26136363636
8/31/2012,7515.53260869565
9/30/2012,8087.74
10/31/2012,8062.03
11/30/2012,7711.22727272727
12/31/2012,7966.48684210526
1/31/2013,8047.36
2/28/2013,8060.925
3/31/2013,7645.58333333333
4/30/2013,7234.27954545454
5/31/2013,7249.41304347826
6/30/2013,7000.2375
7/31/2013,6906.64130434783
8/31/2013,7192.92045454545
9/30/2013,7159.26904761905
10/31/2013,7203.02173913043
11/30/2013,7070.65476190476
12/31/2013,7214.9
1/31/2014,7291.47
2/28/2014,7149.21
3/31/2014,6650.04
4/30/2014,6673.56
5/31/2014,6891.13
6/30/2014,6821.14
7/31/2014,7113.38
8/31/2014,7001.84
9/30/2014,6872.22
10/31/2014,6737.48
11/30/2014,6712.85
12/31/2014,6446.45
1/31/2015,5830.54
2/28/2015,5729.27
3/31/2015,5939.67
4/30/2015,6042.09
5/31/2015,6294.78
6/30/2015,5833.01
7/31/2015,5456.75
8/31/2015,5127.3
9/30/2015,5217.25
10/31/2015,5216.09
11/30/2015,4799.9
12/31/2015,4638.83
1/31/2016,4471.79
2/29/2016,4598.62
3/31/2016,4953.8
4/30/2016,4872.74
5/31/2016,4694.54
6/30/2016,4641.97
7/31/2016,4864.9
8/31/2016,4751.67
9/30/2016,4722.2
10/31/2016,4731.26
11/30/2016,5450.93
12/31/2016,5660.35
1/31/2017,5754.56
2/28/2017,5940.91
3/31/2017,5824.63
4/30/2017,5683.9
5/31/2017,5599.56
6/30/2017,5719.76
7/31/2017,5985.12
8/31/2017,6485.63
9/30/2017,6577.17
10/31/2017,6807.6
11/30/2017,6826.55
12/31/2017,6833.89
1/31/2018,7065.85
2/28/2018,7006.52
3/31/2018,6799.18
4/30/2018,6851.51
5/31/2018,6825.27
6/30/2018,6965.86
7/31/2018,6250.75
8/31/2018,6051.05
9/30/2018,6050.76
10/31/2018,6219.59
11/30/2018,6195.92
12/31/2018,6075.32
1/31/2019,5939.1
2/28/2019,6300.49
3/31/2019,6439.46
4/30/2019,6438.36
5/31/2019,6017.9
6/30/2019,5882.23
7/31/2019,5941.2
8/31/2019,5709.44
9/30/2019,5759.25
10/31/2019,5757.3
11/30/2019,5859.95
12/31/2019,6077.06
1/31/2020,6031.21
2/29/2020,5687.75
3/31/2020,5182.63
4/30/2020,5057.97
5/31/2020,5239.83
6/30/2020,5754.6
7/31/2020,6372.46
8/31/2020,6498.94
9/30/2020,6704.9
10/31/2020,6713.81
11/30/2020,7068.91
12/31/2020,7772.24
1/31/2021,7972.15
2/28/2021,8470.94
3/31/2021,8988.25
4/30/2021,9324.82
5/31/2021,10161.97
6/30/2021,9631.5
7/31/2021,9450.82
8/31/2021,9370.14
9/30/2021,9324.71
10/31/2021,9829.22
11/30/2021,9728.9
12/31/2021,9551.18
1/31/2022,9782.34
2/28/2022,9943.17
3/31/2022,10230.89
4/30/2022,10161.38
5/31/2022,9377.15
6/30/2022,9024.46
7/31/2022,7544.81
8/31/2022,7981.84
9/30/2022,7746.01
10/31/2022,7651.08
11/30/2022,8049.86
12/31/2022,8375.4
1/31/2023,9037.95
2/28/2023,8936.59
3/31/2023,8856.31
4/30/2023,8809.42
5/31/2023,8217.47
6/30/2023,8396.52
7/31/2023,8476.68
8/31/2023,8349.13
9/30/2023,8276.71
10/31/2023,7937.18
11/30/2023,8189.59
12/31/2023,8399.94
1/31/2024,8338.88
2/29/2024,8304.95
3/31/2024,8689.13
4/30/2024,9464.43
5/31/2024,10139.33
6/30/2024,9648.17
7/31/2024,9385.31
8/31/2024,8971.96
9/30/2024,9237.48
10/31/2024,9533.99
11/30/2024,9075.73
12/31/2024,8916.32
